tissue	amplicon	module	asv_id	rho	p_value	n	padj	Genus
Leaf	16S	turquoise	ASV018	0.262420257264051	0.250471009977305	21	0.497463255927148	Edaphobacter
Leaf	16S	turquoise	ASV020	0.679233795746955	0.000708785051193042	21	0.0119242661553653	Methylobacterium-Methylorubrum
Leaf	16S	turquoise	ASV021	0.619428154299694	0.00274882564013896	21	0.032324499196063	Rhizobiaceae
Leaf	16S	turquoise	ASV024	0.641852395982942	0.00170897747307998	21	0.023274645585756	Pantoea
Leaf	16S	turquoise	ASV032	0.477006412895342	0.0287815407519893	21	0.155690672507443	Hydrotalea
Leaf	16S	turquoise	ASV034	0.201873021157073	0.380195163769967	21	0.610875375495566	Aminobacter
Leaf	16S	turquoise	ASV037	0.496660702584904	0.0220042358360395	21	0.143312255197143	Leifsonia
Leaf	16S	turquoise	ASV038	-0.151404765867805	0.51238270744837	21	0.719080760878989	Phenylobacterium
Leaf	16S	turquoise	ASV054	-0.525974025974026	0.0155945610468304	21	0.113855899145261	Pseudomonas
Leaf	16S	turquoise	ASV060	0.601872315593543	0.00389334276845749	21	0.0412405937695867	Paenibacillus
Leaf	16S	turquoise	ASV080	0.0469228274578105	0.839939201123556	21	0.926618975467912	Sphingomonas
Leaf	16S	turquoise	ASV091	0.156270189909892	0.498758612229533	21	0.713224815488232	Curtobacterium
Leaf	16S	turquoise	ASV221	-0.239871571304707	0.294956855205364	21	0.551554952428379	Staphylococcus
Leaf	16S	turquoise	ASV262	-0.314861224224386	0.164473356058906	21	0.426125769199151	Corynebacterium
Leaf	16S	turquoise	ASV317	0.0764668299312468	0.741822535837726	21	0.855488892135442	Acinetobacter
Leaf	16S	magenta	ASV003	-0.549031334896802	0.00994777731349596	21	0.0862140700502983	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	magenta	ASV004	-0.306529048867058	0.176541444870738	21	0.427888586720603	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	magenta	ASV005	-0.263737334092305	0.248013733661974	21	0.496027467323948	Vibrionimonas
Leaf	16S	magenta	ASV006	0.342362852192173	0.12871843675911	21	0.364427409532352	Ralstonia
Leaf	16S	magenta	ASV008	-0.542337750816981	0.0110865452158416	21	0.0919637955757971	Methylobacterium-Methylorubrum
Leaf	16S	magenta	ASV012	-0.278061199749988	0.222291020681306	21	0.464052787699661	Paenarthrobacter
Leaf	16S	magenta	ASV013	-0.540419247423681	0.0114318221278631	21	0.0919637955757971	Azospirillum
Leaf	16S	magenta	ASV018	-0.477917687070292	0.0284346875194644	21	0.155690672507443	Edaphobacter
Leaf	16S	magenta	ASV020	-0.290105550575294	0.202071210908097	21	0.444556663997814	Methylobacterium-Methylorubrum
Leaf	16S	magenta	ASV021	-0.408443892136479	0.0660276320464915	21	0.255187875206711	Rhizobiaceae
Leaf	16S	magenta	ASV024	-0.22059381061084	0.3366044073197	21	0.583447639354146	Pantoea
Leaf	16S	magenta	ASV032	-0.350021770554602	0.119836053628279	21	0.349725625894772	Hydrotalea
Leaf	16S	magenta	ASV034	-0.270249367032856	0.236092452533834	21	0.482303153033404	Aminobacter
Leaf	16S	magenta	ASV037	-0.267670721330805	0.240767695313186	21	0.487774810254328	Leifsonia
Leaf	16S	magenta	ASV038	-0.126984642340739	0.583339809823152	21	0.761219870608477	Phenylobacterium
Leaf	16S	magenta	ASV054	0.436363636363636	0.049318940860597	21	0.215249513609994	Pseudomonas
Leaf	16S	magenta	ASV060	-0.398411622790071	0.0736366130452485	21	0.270000914499244	Paenibacillus
Leaf	16S	magenta	ASV080	0.0651705936914035	0.778971084191447	21	0.887592550114557	Sphingomonas
Leaf	16S	magenta	ASV091	0.0247556736490918	0.915174560207569	21	0.948333058765814	Curtobacterium
Leaf	16S	magenta	ASV221	0.00420827318078432	0.985556008523903	21	0.989014099781882	Staphylococcus
Leaf	16S	magenta	ASV262	-0.108306072214776	0.640279348827955	21	0.797307804023349	Corynebacterium
Leaf	16S	magenta	ASV317	-0.403188739637483	0.0699354055493408	21	0.266687013161486	Acinetobacter
Leaf	16S	blue	ASV003	-0.745113954502803	0.000106391377968982	21	0.00331505924941246	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	blue	ASV004	-0.743282857056723	0.000112984633385157	21	0.00331505924941246	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	blue	ASV005	0.0293041482324783	0.899659034106174	21	0.939060159687466	Vibrionimonas
Leaf	16S	blue	ASV006	0.147720012367181	0.522817847147542	21	0.720111914276654	Ralstonia
Leaf	16S	blue	ASV008	-0.830412416462909	3.17774283820348e-06	21	0.000908834451726196	Methylobacterium-Methylorubrum
Leaf	16S	blue	ASV012	-0.0669084761898409	0.773223438860393	21	0.884567614056289	Paenarthrobacter
Leaf	16S	blue	ASV013	-0.762775502355661	5.80073683102795e-05	21	0.00331505924941246	Azospirillum
Leaf	16S	blue	ASV018	-0.311949908469518	0.168623267652018	21	0.427888586720603	Edaphobacter
Leaf	16S	blue	ASV020	-0.643647514876386	0.00164255173656584	21	0.023274645585756	Methylobacterium-Methylorubrum
Leaf	16S	blue	ASV021	-0.618075691080699	0.00282556811154397	21	0.032324499196063	Rhizobiaceae
Leaf	16S	blue	ASV024	-0.745620824027294	0.000104626104848006	21	0.00331505924941246	Pantoea
Leaf	16S	blue	ASV032	-0.621899145822596	0.00261311949873	21	0.032324499196063	Hydrotalea
Leaf	16S	blue	ASV034	-0.198617004686798	0.388087739991543	21	0.615425743377293	Aminobacter
Leaf	16S	blue	ASV037	-0.584852789959793	0.00535710902121145	21	0.0528321786229819	Leifsonia
Leaf	16S	blue	ASV038	0.167684848219182	0.467505207354613	21	0.685153262574726	Phenylobacterium
Leaf	16S	blue	ASV054	0.658441558441558	0.0015400564744353	21	0.0231819027204471	Pseudomonas
Leaf	16S	blue	ASV060	-0.727971528243605	0.000183365952711934	21	0.00437022187296776	Paenibacillus
Leaf	16S	blue	ASV080	-0.103404008657027	0.655568379997959	21	0.801156132193192	Sphingomonas
Leaf	16S	blue	ASV091	-0.186441167169722	0.418402127441405	21	0.644161541107636	Curtobacterium
