ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	tissue	module	n_genes_in_module
GO:0010411	xyloglucan metabolic process	6/176	22/3282	0.272727272727273	5.08574380165289	4.57648869938411	0.000793052119825204	0.0230908446987447	0.0211079743783539	Solyc12g011030/Solyc12g011023/Solyc09g092520/Solyc12g017240/Solyc07g052980/Solyc03g093110	6	Adv-Root	green	287
GO:0005618	cell wall	6/176	23/3282	0.260869565217391	4.86462450592885	4.42677822104183	0.00102582387294651	0.0230908446987447	0.0211079743783539	Solyc12g011030/Solyc12g011023/Solyc09g092520/Solyc12g017240/Solyc07g052980/Solyc03g093110	6	Adv-Root	green	287
GO:0016762	xyloglucan:xyloglucosyl transferase activity	6/176	23/3282	0.260869565217391	4.86462450592885	4.42677822104183	0.00102582387294651	0.0230908446987447	0.0211079743783539	Solyc12g011030/Solyc12g011023/Solyc09g092520/Solyc12g017240/Solyc07g052980/Solyc03g093110	6	Adv-Root	green	287
GO:0042546	cell wall biogenesis	6/176	23/3282	0.260869565217391	4.86462450592885	4.42677822104183	0.00102582387294651	0.0230908446987447	0.0211079743783539	Solyc12g011030/Solyc12g011023/Solyc09g092520/Solyc12g017240/Solyc07g052980/Solyc03g093110	6	Adv-Root	green	287
GO:0044042	glucan metabolic process	6/176	23/3282	0.260869565217391	4.86462450592885	4.42677822104183	0.00102582387294651	0.0230908446987447	0.0211079743783539	Solyc12g011030/Solyc12g011023/Solyc09g092520/Solyc12g017240/Solyc07g052980/Solyc03g093110	6	Adv-Root	green	287
GO:0016757	glycosyltransferase activity	7/176	32/3282	0.21875	4.07919034090909	4.16608923310842	0.00121530761572341	0.0230908446987447	0.0211079743783539	Solyc09g064470/Solyc04g078980/Solyc01g067930/Solyc03g115740/Solyc07g049610/Solyc07g044960/Solyc07g055930	7	Adv-Root	green	287
GO:0048046	apoplast	7/176	33/3282	0.212121212121212	3.95557851239669	4.0614708276039	0.00147385292949183	0.024002747708867	0.0219415699277731	Solyc12g011030/Solyc12g011023/Solyc09g092520/Solyc05g052340/Solyc12g017240/Solyc07g052980/Solyc03g093110	7	Adv-Root	green	287
GO:0022857	transmembrane transporter activity	6/35	86/3282	0.0697674418604651	6.5421926910299	5.40659022179013	0.000239565315060797	0.00710713827339463	0.00690572139924985	Solyc08g075570/Solyc01g010350/Solyc06g075500/Solyc03g005555/Solyc09g010360/Solyc10g049280	6	Adv-Root	midnightblue	43
GO:0055085	transmembrane transport	8/35	174/3282	0.0459770114942529	4.31133004926108	4.65942775521282	0.000364468629404853	0.00710713827339463	0.00690572139924985	Solyc08g082990/Solyc08g075570/Solyc01g010350/Solyc06g075500/Solyc03g005555/Solyc03g025350/Solyc07g014680/Solyc10g049280	8	Adv-Root	midnightblue	43
GO:0016020	membrane	11/35	352/3282	0.03125	2.93035714285714	3.97897473515132	0.000713835095633947	0.00927985624324131	0.00901686436590249	Solyc08g075570/Solyc01g010350/Solyc06g010010/Solyc06g075500/Solyc03g005555/Solyc03g025350/Solyc02g071090/Solyc09g010360/Solyc10g049280/Solyc03g007360/Solyc01g073660	11	Adv-Root	midnightblue	43
GO:0003700	DNA-binding transcription factor activity	16/86	204/3282	0.0784313725490196	2.99316005471956	4.82138604212797	5.47351007005184e-05	0.00399566235113784	0.00339933783297956	Solyc06g035490/Solyc12g099130/Solyc04g012050/Solyc03g007380/Solyc03g119370/Solyc02g078130/Solyc05g052050/Solyc09g066340/Solyc04g078640/Solyc12g056590/Solyc08g081610/Solyc12g099120/Solyc01g057080/Solyc02g078620/Solyc03g114230/Solyc06g062520	16	Adv-Root	pink	141
GO:0061630	ubiquitin protein ligase activity	5/86	20/3282	0.25	9.5406976744186	6.28369828298046	0.000125002116940838	0.00456257726834058	0.00388164468395233	Solyc06g074140/Solyc11g068940/Solyc11g006030/Solyc01g005160/Solyc01g007000	5	Adv-Root	pink	141
GO:0016567	protein ubiquitination	6/86	37/3282	0.162162162162162	6.18856065367693	5.2058226052474	0.000328994043719164	0.00800552173049965	0.00681075388751953	Solyc06g074140/Solyc11g068940/Solyc11g006030/Solyc01g005160/Solyc01g007000/Solyc06g053640	6	Adv-Root	pink	141
GO:0004842	ubiquitin-protein transferase activity	5/86	28/3282	0.178571428571429	6.81478405315615	5.06818883218999	0.000671623654702299	0.0122571316983169	0.0104278409545883	Solyc06g074140/Solyc11g068940/Solyc11g006030/Solyc01g005160/Solyc01g007000	5	Adv-Root	pink	141
GO:0006357	regulation of transcription by RNA polymerase II	3/86	8/3282	0.375	14.3110465116279	6.18253825686491	0.00088477763095084	0.0129177534118823	0.0109898695212841	Solyc06g035490/Solyc02g078130/Solyc03g114230	3	Adv-Root	pink	141
GO:0016830	carbon-carbon lyase activity	3/86	11/3282	0.272727272727273	10.4080338266385	5.12629855985541	0.00246217490945924	0.0299564613984208	0.0254856701154553	Solyc08g068630/Solyc04g025530/Solyc08g068610	3	Adv-Root	pink	141
GO:0019752	carboxylic acid metabolic process	3/86	13/3282	0.230769230769231	8.80679785330948	4.62579204988253	0.00410871671406602	0.0428480457324028	0.0364532761097587	Solyc08g068630/Solyc04g025530/Solyc08g068610	3	Adv-Root	pink	141
